description,image,name,type
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/122.png,NOOTS 122,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/123.png,NOOTS 123,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/124.png,NOOTS 124,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/125.png,NOOTS 125,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/126.png,NOOTS 126,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/127.png,NOOTS 127,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/128.png,NOOTS 128,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/129.png,NOOTS 129,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/130.png,NOOTS 130,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/131.png,NOOTS 131,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/132.png,NOOTS 132,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/133.png,NOOTS 133,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/134.png,NOOTS 134,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/135.png,NOOTS 135,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/136.png,NOOTS 136,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/137.png,NOOTS 137,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/138.png,NOOTS 138,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/139.png,NOOTS 139,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/140.png,NOOTS 140,ALMOND
